syscall,time,process,fields,length,value
77,64480.353470602,666,1,19,1351
77,64480.52271799,666,1,5,439
124,64480.523147358,666,0,0,0
124,64480.523174678,666,0,0,0
124,64480.523188189,666,0,0,0
124,64480.523201921,666,0,0,0
124,64480.523217079,666,0,0,0
124,64480.523230243,666,0,0,0
77,64480.528987651,666,1,19,1351
77,64480.528998245,666,1,5,439
124,64480.532435747,666,0,0,0
77,64480.54211727,666,1,19,1351
77,64480.542125652,666,1,5,439
124,64480.552141959,666,0,0,0
124,64480.552169566,666,0,0,0
77,64480.552460337,666,1,19,1351
77,64480.593523405,666,1,5,439
124,64480.603063085,666,0,0,0
77,64480.603693259,666,1,19,1351
77,64480.6670879,666,1,5,439
40,64480.672033109,666,1,5,439
77,64480.680618644,666,1,19,1351
77,64481.016810995,666,1,5,439
124,64481.023433249,666,0,0,0
124,64481.023463119,666,0,0,0
124,64481.023478689,666,0,0,0
124,64481.023494093,666,0,0,0
124,64481.02351044,666,0,0,0
124,64481.023523871,666,0,0,0
77,64481.027046701,666,1,19,1351
77,64481.02705765,666,1,5,439
124,64481.032634455,666,0,0,0
77,64481.032661454,666,1,19,1351
77,64481.050518267,666,1,5,439
124,64481.052317321,666,0,0,0
124,64481.052345409,666,0,0,0
77,64481.060779021,666,1,19,1351
77,64481.101852336,666,1,5,439
124,64481.103677879,666,0,0,0
77,64481.112147994,666,1,19,1351
77,64481.288159758,666,1,5,439
185,64481.292380233,666,1,5,439
108,64481.292417346,666,0,0,0
251,64481.292425615,666,0,0,0
77,64481.298385134,666,1,19,1351
77,64481.513867141,666,1,5,439
124,64481.523729365,666,0,0,0
124,64481.523753425,666,0,0,0
124,64481.523763432,666,0,0,0
124,64481.523773411,666,0,0,0
124,64481.523782699,666,0,0,0
124,64481.523791753,666,0,0,0
77,64481.523906015,666,1,19,1351
77,64481.523914013,666,1,5,439
124,64481.53288623,666,0,0,0
77,64481.533730467,666,1,19,1351
77,64481.54409019,666,1,5,439
124,64481.561290169,666,0,0,0
124,64481.561315867,666,0,0,0
77,64481.561337809,666,1,19,1351
77,64481.602373378,666,1,5,439
124,64481.60391405,666,0,0,0
77,64481.612553982,666,1,19,1351
77,64481.663889715,666,1,5,439
40,64481.673216872,666,1,5,439
77,64481.674100587,666,1,19,1351
77,64482.016268558,666,1,5,439
