syscall,time,process,fields,length,value
77,71727.599887387,666,1,19,1351
77,71727.82420528,666,1,5,439
259,71727.827369926,434,1,5,440
3,71727.827391576,434,5,114,7617
58,71727.827394858,434,1,19,1602
204,71727.827404603,434,4,39,2653
321,71727.827425227,434,5,73,5023
27,71727.82766006,434,21,348,27410
28,71727.827705378,434,1,5,439
380,71727.827763929,434,2,16,1177
380,71727.827767185,434,2,93,5638
28,71727.827770138,434,1,5,439
28,71727.82777117,434,1,5,439
28,71727.827772269,434,1,5,439
100,71727.827783595,434,0,0,0
100,71727.827814968,434,0,0,0
100,71727.827816091,434,0,0,0
100,71727.827834544,434,0,0,0
27,71727.827851764,434,21,342,26954
271,71727.827883273,434,0,0,0
193,71727.827967105,434,4,110,9510
69,71727.827992262,434,1,5,439
380,71727.828000005,434,2,13,1038
28,71727.828001929,434,1,5,439
28,71727.828012335,434,1,5,439
28,71727.82801427,434,1,5,439
28,71727.828015475,434,1,5,439
28,71727.828024761,434,1,5,439
297,71727.828055441,434,1,7,543
33,71727.828058321,434,1,19,1600
33,71727.828059533,434,1,19,1601
33,71727.828060675,434,1,5,443
28,71727.828061867,434,1,5,439
33,71727.828063052,434,1,5,444
28,71727.828064191,434,1,5,439
43,71727.828263948,434,27,369,29174
13,71727.82829564,434,4,48,3837
5,71727.828326133,434,2,38,3222
5,71727.828332822,434,2,38,3213
193,71727.828345511,434,4,85,6933
69,71727.828349779,434,1,5,439
163,71727.82835369,434,4,48,3834
28,71727.828355234,434,1,5,439
5,71727.828360917,434,2,38,3222
193,71727.82836985,434,4,121,10025
222,71727.828373424,434,2,93,4881
69,71727.828376641,434,1,5,439
163,71727.828379704,434,4,48,3831
163,71727.828386195,434,4,48,3834
168,71727.828390736,434,0,0,0
163,71727.828395365,434,4,50,3952
28,71727.828406739,434,1,5,439
5,71727.828415973,434,2,38,3222
193,71727.828424818,434,4,123,10213
222,71727.828427836,434,2,93,4889
69,71727.82843068,434,1,5,439
163,71727.828434983,434,4,50,3948
168,71727.82843886,434,0,0,0
163,71727.828442784,434,4,50,3943
163,71727.828450069,434,4,50,3940
28,71727.828457979,434,1,5,439
5,71727.828467799,434,2,38,3222
193,71727.828477306,434,4,119,9777
222,71727.828480261,434,2,93,4880
69,71727.828483032,434,1,5,439
163,71727.828486883,434,4,50,3951
168,71727.828490388,434,0,0,0
163,71727.828493484,434,4,50,3953
28,71727.828504162,434,1,5,439
5,71727.828513245,434,2,38,3222
193,71727.828520362,434,4,127,10695
222,71727.828523526,434,2,93,4992
69,71727.828526499,434,1,5,439
163,71727.828533213,434,4,50,3938
168,71727.828536329,434,0,0,0
163,71727.828539837,434,4,50,3945
163,71727.828546096,434,4,50,3951
28,71727.828553388,434,1,5,439
5,71727.828563561,434,2,38,3222
193,71727.828571568,434,4,127,10695
222,71727.828574503,434,2,93,4954
69,71727.828577093,434,1,5,439
163,71727.828581205,434,4,51,4009
168,71727.828584112,434,0,0,0
163,71727.82858757,434,4,51,3981
163,71727.828594905,434,4,51,3989
28,71727.82860237,434,1,5,439
5,71727.828610514,434,2,38,3222
193,71727.828619482,434,4,141,11655
222,71727.828622576,434,2,93,4962
69,71727.828625196,434,1,5,439
163,71727.828629049,434,4,51,4002
168,71727.828632287,434,0,0,0
163,71727.82863588,434,4,51,3977
163,71727.828642866,434,4,51,4001
28,71727.82865205,434,1,5,439
5,71727.828664934,434,2,38,3222
193,71727.828673039,434,4,121,10035
222,71727.828675944,434,2,93,4912
69,71727.828678591,434,1,5,439
163,71727.828681601,434,4,51,4013
163,71727.828688178,434,4,51,4005
168,71727.828690898,434,0,0,0
163,71727.828693937,434,4,51,4013
28,71727.828705183,434,1,5,439
5,71727.828713546,434,2,38,3222
193,71727.828721378,434,4,115,9387
222,71727.828724047,434,2,93,4893
69,71727.828726633,434,1,5,439
163,71727.828730323,434,4,51,4019
168,71727.828733234,434,0,0,0
163,71727.828736169,434,4,51,3991
28,71727.828748296,434,1,5,439
5,71727.8287593,434,2,38,3222
193,71727.828768003,434,4,123,10267
222,71727.828770989,434,2,93,4954
69,71727.82877366,434,1,5,439
163,71727.828777631,434,4,51,4001
168,71727.82878175,434,0,0,0
163,71727.828785211,434,4,51,4018
163,71727.828792813,434,4,51,4002
28,71727.828801027,434,1,5,439
5,71727.828809981,434,2,38,3222
193,71727.828818929,434,4,143,12159
222,71727.82882208,434,2,93,4888
69,71727.82882468,434,1,5,439
163,71727.828832063,434,4,51,4002
168,71727.828835815,434,0,0,0
163,71727.828838809,434,4,51,3995
28,71727.828850946,434,1,5,439
5,71727.828861647,434,2,38,3222
193,71727.828872014,434,4,129,10677
222,71727.828875071,434,2,93,4947
69,71727.828877684,434,1,5,439
163,71727.828881659,434,4,51,3991
168,71727.828885152,434,0,0,0
163,71727.828888298,434,4,52,4037
28,71727.828901809,434,1,5,439
5,71727.828912702,434,2,38,3222
193,71727.828920548,434,4,127,10631
222,71727.828923585,434,2,93,4885
69,71727.828926071,434,1,5,439
163,71727.828929916,434,4,52,4063
168,71727.828932886,434,0,0,0
163,71727.828935859,434,4,52,4034
28,71727.828947998,434,1,5,439
5,71727.828956458,434,2,38,3222
193,71727.828964477,434,4,115,9351
222,71727.828967322,434,2,93,4989
69,71727.828970002,434,1,5,439
163,71727.828973243,434,4,52,4050
163,71727.828979716,434,4,52,4067
168,71727.828982947,434,0,0,0
163,71727.828986767,434,4,52,4037
163,71727.828993869,434,4,52,4054
28,71727.829003175,434,1,5,439
5,71727.82901674,434,2,38,3222
193,71727.829025416,434,4,119,9809
222,71727.82902837,434,2,93,5001
69,71727.829030984,434,1,5,439
163,71727.829035097,434,4,52,4054
168,71727.829038686,434,0,0,0
163,71727.829042097,434,4,52,4079
163,71727.829049896,434,4,52,4085
28,71727.829058186,434,1,5,439
5,71727.829071331,434,2,38,3222
193,71727.829079697,434,4,125,10273
222,71727.829082559,434,2,93,4924
69,71727.829085145,434,1,5,439
163,71727.829089319,434,4,52,4047
168,71727.82909242,434,0,0,0
163,71727.829095604,434,4,52,4049
28,71727.829108935,434,1,5,439
5,71727.829119303,434,2,38,3222
193,71727.829126613,434,4,117,9561
222,71727.829129572,434,2,93,4891
69,71727.829132264,434,1,5,439
163,71727.829139657,434,4,52,4062
168,71727.829143294,434,0,0,0
163,71727.829146531,434,4,52,4067
28,71727.829158715,434,1,5,439
5,71727.829168689,434,2,38,3222
193,71727.829176539,434,4,121,9999
222,71727.829179478,434,2,93,4885
69,71727.829181953,434,1,5,439
163,71727.829185996,434,4,52,4032
168,71727.829189121,434,0,0,0
163,71727.829191867,434,4,52,4042
28,71727.829204811,434,1,5,439
5,71727.829227942,434,2,38,3222
193,71727.829236654,434,4,117,9603
222,71727.82923982,434,2,93,4916
69,71727.829242653,434,1,5,439
163,71727.82924733,434,4,52,4009
168,71727.829250726,434,0,0,0
163,71727.82925394,434,4,52,4022
28,71727.829267503,434,1,5,439
5,71727.829277545,434,2,38,3222
193,71727.829286544,434,4,121,10023
222,71727.829289527,434,2,93,4927
69,71727.829292111,434,1,5,439
163,71727.829295654,434,4,52,4038
163,71727.829302453,434,4,52,4073
168,71727.829305301,434,0,0,0
163,71727.829308556,434,4,52,4010
28,71727.829321014,434,1,5,439
5,71727.829332219,434,2,38,3222
193,71727.829341191,434,4,127,10493
222,71727.82934411,434,2,93,4918
69,71727.829346823,434,1,5,439
163,71727.829351006,434,4,52,4068
168,71727.829354222,434,0,0,0
163,71727.82935754,434,4,52,4085
28,71727.829369401,434,1,5,439
5,71727.829381409,434,2,38,3222
193,71727.829389973,434,4,127,10571
222,71727.829393011,434,2,93,4888
69,71727.829395605,434,1,5,439
163,71727.829399705,434,4,52,4075
168,71727.829402709,434,0,0,0
163,71727.829406015,434,4,52,4061
28,71727.829419386,434,1,5,439
5,71727.829431521,434,2,38,3222
193,71727.829439384,434,4,127,10629
222,71727.829442127,434,2,93,5010
69,71727.82944472,434,1,5,439
163,71727.829452561,434,4,52,4082
168,71727.829456496,434,0,0,0
163,71727.829460286,434,4,52,4053
163,71727.829467241,434,4,52,4059
28,71727.829475284,434,1,5,439
5,71727.829490674,434,2,38,3222
193,71727.829499903,434,4,137,11599
222,71727.829502827,434,2,93,5008
69,71727.829505444,434,1,5,439
163,71727.829509606,434,4,52,4085
168,71727.829512946,434,0,0,0
163,71727.829516381,434,4,52,4078
163,71727.829523596,434,4,52,4083
28,71727.829531659,434,1,5,439
5,71727.829543055,434,2,38,3222
193,71727.829551827,434,4,143,12265
222,71727.829554628,434,2,93,4888
69,71727.829557364,434,1,5,439
163,71727.829561506,434,4,52,4085
168,71727.829564811,434,0,0,0
163,71727.829567775,434,4,52,4075
28,71727.829579896,434,1,5,439
5,71727.829591471,434,2,38,3222
193,71727.829599914,434,4,129,10923
222,71727.829602771,434,2,93,4911
69,71727.829605236,434,1,5,439
163,71727.82960845,434,4,52,4053
163,71727.829615162,434,4,52,4072
168,71727.829618156,434,0,0,0
163,71727.829621302,434,4,52,4087
28,71727.829637484,434,1,5,439
5,71727.829646681,434,2,38,3222
193,71727.829655766,434,4,125,10479
222,71727.829658849,434,2,93,4986
69,71727.829661439,434,1,5,439
163,71727.829665955,434,4,52,4077
168,71727.829669134,434,0,0,0
163,71727.829672691,434,4,52,4063
163,71727.829679699,434,4,52,4060
28,71727.829687355,434,1,5,439
5,71727.829716256,434,2,38,3222
193,71727.829724619,434,4,131,10975
222,71727.829727496,434,2,93,4951
69,71727.829730176,434,1,5,439
163,71727.829738784,434,4,52,4095
168,71727.829741881,434,0,0,0
163,71727.829744856,434,4,52,4076
28,71727.829756691,434,1,5,439
163,71727.829798165,434,4,52,4045
163,71727.829833212,434,4,52,4045
399,71727.829839546,434,0,0,0
168,71727.82993009,434,0,0,0
168,71727.829975029,434,0,0,0
