syscall,time,process,fields,length,value
77,68101.741679803,666,1,19,1351
77,68101.821248655,666,1,5,439
124,68101.829385466,666,0,0,0
124,68101.829407775,666,0,0,0
77,68101.829418337,666,1,19,1351
77,68101.841954038,666,1,5,439
124,68101.848072665,666,0,0,0
124,68101.848093391,666,0,0,0
77,68101.854177262,666,1,19,1351
77,68101.864966247,666,1,5,439
124,68101.86515666,666,0,0,0
77,68101.874330173,666,1,19,1351
77,68101.874336223,666,1,5,439
124,68101.874805059,666,0,0,0
77,68101.884418974,666,1,19,1351
77,68101.945899321,666,1,5,439
124,68101.954444674,666,0,0,0
124,68101.954469055,666,0,0,0
124,68101.954483151,666,0,0,0
124,68101.954495988,666,0,0,0
77,68101.956114209,666,1,19,1351
77,68102.018950293,666,1,5,439
185,68102.025964765,666,1,5,439
108,68102.025998824,666,0,0,0
251,68102.026006036,666,0,0,0
77,68102.029173621,666,1,19,1351
77,68102.32637294,666,1,5,439
124,68102.329473406,666,0,0,0
124,68102.329503703,666,0,0,0
77,68102.33043013,666,1,19,1351
77,68102.337237999,666,1,5,439
40,68102.341201389,666,1,5,439
77,68102.342768744,666,1,19,1351
77,68102.347457944,666,1,5,439
124,68102.348289558,666,0,0,0
124,68102.348316016,666,0,0,0
77,68102.357683613,666,1,19,1351
77,68102.35769347,666,1,5,439
124,68102.365397734,666,0,0,0
77,68102.368038789,666,1,19,1351
77,68102.368049066,666,1,5,439
124,68102.375054865,666,0,0,0
77,68102.37829396,666,1,19,1351
77,68102.445071502,666,1,5,439
124,68102.454655917,666,0,0,0
124,68102.454687467,666,0,0,0
124,68102.454702812,666,0,0,0
124,68102.454717849,666,0,0,0
77,68102.455227329,666,1,19,1351
77,68102.822804114,666,1,5,439
124,68102.832319734,666,0,0,0
124,68102.832352302,666,0,0,0
77,68102.832368252,666,1,19,1351
77,68102.84599814,666,1,5,439
124,68102.848611254,666,0,0,0
124,68102.848633489,666,0,0,0
77,68102.856094138,666,1,19,1351
77,68102.865157336,666,1,5,439
124,68102.865534499,666,0,0,0
77,68102.866208143,666,1,19,1351
77,68102.866215425,666,1,5,439
124,68102.8752831,666,0,0,0
77,68102.87642409,666,1,19,1351
77,68102.948660112,666,1,5,439
124,68102.954862573,666,0,0,0
124,68102.954891534,666,0,0,0
124,68102.954908754,666,0,0,0
124,68102.954924567,666,0,0,0
77,68102.958877311,666,1,19,1351
77,68103.01425132,666,1,5,439
185,68103.032244411,666,1,5,439
108,68103.032278451,666,0,0,0
251,68103.032285247,666,0,0,0
77,68103.032306855,666,1,19,1351
77,68103.324274579,666,1,5,439
124,68103.334247191,666,0,0,0
124,68103.334275258,666,0,0,0
77,68103.344248117,666,1,19,1351
77,68103.344301237,666,1,5,439
40,68103.344312257,666,1,5,439
77,68103.344339416,666,1,19,1351
77,68103.344341419,666,1,5,439
124,68103.354245375,666,0,0,0
124,68103.354266252,666,0,0,0
77,68103.36422305,666,1,19,1351
77,68103.36427307,666,1,5,439
124,68103.374227066,666,0,0,0
124,68103.384215951,666,0,0,0
77,68103.384231994,666,1,19,1351
77,68103.444464626,666,1,5,439
124,68103.464229812,666,0,0,0
124,68103.464252397,666,0,0,0
124,68103.464263412,666,0,0,0
124,68103.464273173,666,0,0,0
77,68103.464281472,666,1,19,1351
77,68103.834220984,666,1,5,439
124,68103.844223615,666,0,0,0
124,68103.844244848,666,0,0,0
77,68103.854270081,666,1,19,1351
77,68103.85433042,666,1,5,439
124,68103.864228385,666,0,0,0
124,68103.864245476,666,0,0,0
77,68103.864255049,666,1,19,1351
77,68103.874289386,666,1,5,439
124,68103.884225969,666,0,0,0
77,68103.884242823,666,1,19,1351
77,68103.884271795,666,1,5,439
124,68103.894221239,666,0,0,0
77,68103.894247102,666,1,19,1351
77,68103.964259213,666,1,5,439
124,68103.974227018,666,0,0,0
124,68103.974255401,666,0,0,0
124,68103.974264539,666,0,0,0
124,68103.974274361,666,0,0,0
77,68103.974282239,666,1,19,1351
77,68104.024278966,666,1,5,439
185,68104.034172229,666,1,5,439
108,68104.03420096,666,0,0,0
251,68104.034206597,666,0,0,0
77,68104.044234572,666,1,19,1351
77,68104.344239733,666,1,5,439
124,68104.354179615,666,0,0,0
124,68104.354199148,666,0,0,0
40,68104.354210577,666,1,5,439
77,68104.364227376,666,1,19,1351
77,68104.364231845,666,1,5,439
124,68104.374171656,666,0,0,0
124,68104.374186894,666,0,0,0
77,68104.376158892,666,1,19,1351
77,68104.376163485,666,1,5,439
124,68104.394170441,666,0,0,0
77,68104.394184539,666,1,19,1351
77,68104.404267554,666,1,5,439
124,68104.404274575,666,0,0,0
77,68104.404284117,666,1,19,1351
77,68104.46422656,666,1,5,439
124,68104.484241767,666,0,0,0
124,68104.484263777,666,0,0,0
124,68104.484274173,666,0,0,0
124,68104.484283002,666,0,0,0
77,68104.48429086,666,1,19,1351
77,68104.704549228,666,1,5,439
401,68104.704578683,666,2,94,4801
77,68104.704588114,666,1,5,440
77,68104.704588114,666,1,5,440
401,68104.70459329,666,2,93,5931
77,68104.704601947,666,1,5,439
77,68104.704652232,666,1,5,439
258,68104.704659975,666,0,0,0
258,68104.704664353,666,0,0,0
77,68104.704670044,666,1,5,440
77,68104.704726954,666,1,5,439
258,68104.704731081,666,0,0,0
258,68104.704734177,666,0,0,0
77,68104.704736566,666,1,5,440
77,68104.704751698,666,1,5,439
258,68104.704754466,666,0,0,0
258,68104.704756361,666,0,0,0
77,68104.704758353,666,1,5,440
77,68104.704772861,666,1,5,439
258,68104.704775443,666,0,0,0
74,68104.706300006,666,0,0,0
77,68104.706311994,666,1,5,440
77,68104.706567003,666,1,5,439
401,68104.706578494,666,2,94,5978
77,68104.706582966,666,1,5,440
77,68104.706582966,666,1,5,440
401,68104.706592413,666,2,94,5009
77,68104.706597756,666,1,5,439
77,68104.70661525,666,1,5,439
258,68104.706652383,666,0,0,0
258,68104.706655646,666,0,0,0
77,68104.706659909,666,1,5,440
77,68104.706713969,666,1,5,439
258,68104.706717274,666,0,0,0
258,68104.706719922,666,0,0,0
77,68104.706722398,666,1,5,440
77,68104.706776577,666,1,5,439
258,68104.70680156,666,0,0,0
258,68104.706804535,666,0,0,0
77,68104.706807401,666,1,5,440
77,68104.706823406,666,1,5,439
258,68104.706826078,666,0,0,0
74,68104.707230077,666,0,0,0
77,68104.70723901,666,1,5,440
77,68104.73460493,666,1,5,439
258,68104.734609439,666,0,0,0
77,68104.734612908,666,1,5,440
77,68104.734630365,666,1,5,439
258,68104.73463315,666,0,0,0
77,68104.744218179,666,1,19,1351
77,68104.744250057,666,1,5,439
401,68104.744277808,666,2,93,6503
77,68104.744282968,666,1,5,440
77,68104.744757552,666,1,5,439
74,68104.745984482,666,0,0,0
77,68104.754210038,666,1,19,1351
77,68104.854208427,666,1,5,439
124,68104.85664569,666,0,0,0
124,68104.856668282,666,0,0,0
77,68104.864228986,666,1,19,1351
77,68104.872606738,666,1,5,439
124,68104.875157921,666,0,0,0
124,68104.875325779,666,0,0,0
77,68104.875371642,666,1,19,1351
77,68104.894226414,666,1,5,439
124,68104.896150409,666,0,0,0
77,68104.904153785,666,1,19,1351
77,68104.904169541,666,1,5,439
124,68104.904528055,666,0,0,0
77,68104.904541313,666,1,19,1351
77,68104.974329939,666,1,5,439
124,68104.994216595,666,0,0,0
124,68104.994246002,666,0,0,0
124,68104.994255431,666,0,0,0
124,68104.994264095,666,0,0,0
77,68104.994271511,666,1,19,1351
77,68105.034067742,666,1,5,439
185,68105.044305238,666,1,5,439
108,68105.044332669,666,0,0,0
251,68105.04435331,666,0,0,0
77,68105.044367396,666,1,19,1351
77,68105.104214272,666,1,5,439
27,68105.110546798,1098,21,465,36864
271,68105.110556786,1098,0,0,0
163,68105.110560636,1098,4,53,4097
183,68105.110565544,1098,4,42,3486
183,68105.110567758,1098,4,42,3483
168,68105.11056953,1098,0,0,0
311,68105.110578068,1098,0,0,0
