syscall,time,process,fields,length,value
77,58351.189989953,666,1,19,1351
77,58351.230531456,666,1,5,439
124,58351.244004223,666,0,0,0
77,58351.244025119,666,1,19,1351
77,58351.259950791,666,1,5,439
124,58351.269885643,666,0,0,0
124,58351.269904216,666,0,0,0
77,58351.269914923,666,1,19,1351
77,58351.269918457,666,1,5,439
124,58351.279866791,666,0,0,0
77,58351.280594239,666,1,19,1351
77,58351.280599972,666,1,5,439
124,58351.289203682,666,0,0,0
77,58351.290818565,666,1,19,1351
77,58351.290825378,666,1,5,439
124,58351.292222204,666,0,0,0
77,58351.301080204,666,1,19,1351
77,58351.311260794,666,1,5,439
124,58351.311776914,666,0,0,0
124,58351.311803372,666,0,0,0
124,58351.311817628,666,0,0,0
77,58351.32147995,666,1,19,1351
77,58351.321488737,666,1,5,439
185,58351.331265997,666,1,5,439
108,58351.331304346,666,0,0,0
251,58351.331311991,666,0,0,0
77,58351.331661792,666,1,19,1351
77,58351.331669948,666,1,5,439
124,58351.340149388,666,0,0,0
77,58351.341890537,666,1,19,1351
77,58351.634120444,666,1,5,439
40,58351.642344117,666,1,5,439
77,58351.644345957,666,1,19,1351
77,58351.736733919,666,1,5,439
124,58351.749932943,666,0,0,0
77,58351.749964867,666,1,19,1351
77,58351.769928013,666,1,5,439
124,58351.779875022,666,0,0,0
124,58351.779895597,666,0,0,0
124,58351.789891273,666,0,0,0
77,58351.789912221,666,1,19,1351
77,58351.789918855,666,1,5,439
124,58351.789939969,666,0,0,0
77,58351.789949679,666,1,19,1351
77,58351.789951918,666,1,5,439
124,58351.799864351,666,0,0,0
77,58351.80985743,666,1,19,1351
77,58351.8199133,666,1,5,439
124,58351.819920937,666,0,0,0
124,58351.819933044,666,0,0,0
124,58351.819942223,666,0,0,0
77,58351.829859314,666,1,19,1351
77,58351.829874589,666,1,5,439
124,58351.849888634,666,0,0,0
77,58351.849906424,666,1,19,1351
77,58351.900990302,666,1,5,439
27,58351.901003735,1098,21,465,37035
271,58351.901019645,1098,0,0,0
163,58351.901025912,1098,4,53,4110
183,58351.901033639,1098,4,42,3470
183,58351.901036422,1098,4,42,3478
168,58351.901038798,1098,0,0,0
311,58351.901052045,1098,0,0,0
311,58351.901053359,1098,0,0,0
242,58351.901055152,1098,0,0,0
112,58351.901056528,1098,0,0,0
216,58351.901105318,1098,0,0,0
27,58351.901457265,1098,21,466,37074
271,58351.901471419,1098,0,0,0
163,58351.901478661,1098,4,53,4068
183,58351.901485249,1098,4,42,3485
168,58351.901488167,1098,0,0,0
311,58351.90149955,1098,0,0,0
311,58351.901500915,1098,0,0,0
242,58351.901502986,1098,0,0,0
112,58351.901504318,1098,0,0,0
77,58351.901514084,1098,1,5,440
77,58351.903002918,1098,1,5,439
216,58351.910133905,1098,0,0,0
216,58351.929710344,1098,0,0,0
40,58351.929717543,1098,1,5,439
77,58351.929733961,666,1,19,1351
77,58351.930057711,666,1,5,439
216,58351.93006862,1098,0,0,0
77,58351.930078175,1098,1,5,440
77,58351.930084877,1098,1,5,439
242,58351.930113999,1098,0,0,0
163,58351.930125694,1098,4,53,4162
168,58351.930132046,1098,0,0,0
27,58351.930186313,1098,21,468,37211
242,58351.930205115,1098,0,0,0
27,58351.930502814,1098,21,466,37102
271,58351.930514783,1098,0,0,0
163,58351.93052237,1098,4,53,4082
168,58351.930525962,1098,0,0,0
311,58351.930535976,1098,0,0,0
311,58351.930537386,1098,0,0,0
242,58351.930539444,1098,0,0,0
112,58351.930541069,1098,0,0,0
77,58351.93055199,1098,1,5,440
77,58351.93055199,1098,1,5,440
216,58351.9461879,1098,0,0,0
40,58351.946193433,1098,1,5,439
77,58351.946204548,666,1,19,1351
77,58351.946209825,666,1,5,439
216,58351.94987109,1098,0,0,0
216,58351.949901589,1098,0,0,0
77,58351.949910236,1098,1,5,440
77,58351.949933692,1098,1,5,439
40,58351.949937525,1098,1,5,439
216,58351.959832447,1098,0,0,0
40,58351.95983591,1098,1,5,439
77,58351.959863579,666,1,19,1351
77,58351.959869085,666,1,5,439
216,58351.969910572,1098,0,0,0
40,58351.969915199,1098,1,5,439
77,58351.980518076,666,1,19,1351
77,58351.980523105,666,1,5,439
216,58351.980536831,1098,0,0,0
40,58351.98054173,1098,1,5,439
216,58351.980577565,1098,0,0,0
77,58351.980587517,1098,1,5,440
77,58351.980634945,1098,1,5,439
40,58351.98063861,1098,1,5,439
216,58351.989933905,1098,0,0,0
216,58351.98996685,1098,0,0,0
77,58351.98997376,1098,1,5,440
77,58351.9899966,1098,1,5,439
40,58351.989999669,1098,1,5,439
216,58351.999831831,1098,0,0,0
40,58351.99983618,1098,1,5,439
77,58351.999864574,666,1,19,1351
77,58351.999871326,666,1,5,439
216,58352.009919713,1098,0,0,0
40,58352.009924086,1098,1,5,439
77,58352.022219063,666,1,19,1351
77,58352.02222476,666,1,5,439
216,58352.022239404,1098,0,0,0
40,58352.022244275,1098,1,5,439
216,58352.029989128,1098,0,0,0
77,58352.039848883,666,1,19,1351
77,58352.039856184,666,1,5,439
216,58352.039868615,1098,0,0,0
40,58352.039873142,1098,1,5,439
216,58352.03990261,1098,0,0,0
77,58352.039912105,1098,1,5,440
77,58352.039972674,1098,1,5,439
40,58352.039976678,1098,1,5,439
216,58352.049837189,1098,0,0,0
216,58352.064143811,1098,0,0,0
40,58352.064150249,1098,1,5,439
77,58352.064160632,666,1,19,1351
77,58352.064166053,666,1,5,439
216,58352.069882389,1098,0,0,0
216,58352.069910288,1098,0,0,0
77,58352.069918594,1098,1,5,440
77,58352.069942112,1098,1,5,439
40,58352.069945695,1098,1,5,439
216,58352.079835999,1098,0,0,0
40,58352.079839271,1098,1,5,439
77,58352.079866734,666,1,19,1351
77,58352.079872066,666,1,5,439
