syscall,time,process,fields,length,value
77,63209.543123306,666,1,19,1351
77,63209.783007585,666,1,5,439
124,63209.787714863,666,0,0,0
77,63209.787732489,666,1,19,1351
77,63209.800209712,666,1,5,439
124,63209.803021403,666,0,0,0
77,63209.81039667,666,1,19,1351
77,63209.822993315,666,1,5,439
124,63209.823563893,666,0,0,0
124,63209.823580538,666,0,0,0
124,63209.823589705,666,0,0,0
77,63209.833050501,666,1,19,1351
77,63209.843219853,666,1,5,439
124,63209.853115079,666,0,0,0
77,63209.853324231,666,1,19,1351
77,63209.853757671,666,1,5,439
124,63209.863201862,666,0,0,0
77,63209.863422181,666,1,19,1351
77,63209.863427142,666,1,5,439
124,63209.878969588,666,0,0,0
124,63209.878991114,666,0,0,0
77,63209.879001398,666,1,19,1351
77,63209.899330924,666,1,5,439
124,63209.903193012,666,0,0,0
185,63209.904286661,666,1,5,439
108,63209.904324015,666,0,0,0
251,63209.904331592,666,0,0,0
77,63209.909529293,666,1,19,1351
77,63210.233105186,666,1,5,439
40,63210.233162173,666,1,5,439
77,63210.252983323,666,1,19,1351
77,63210.283413292,666,1,5,439
124,63210.287905406,666,0,0,0
77,63210.293173383,666,1,19,1351
77,63210.293530652,666,1,5,439
124,63210.303265104,666,0,0,0
77,63210.303664239,666,1,19,1351
77,63210.313909648,666,1,5,439
124,63210.323820521,666,0,0,0
124,63210.323845216,666,0,0,0
124,63210.323858596,666,0,0,0
77,63210.323962909,666,1,19,1351
77,63210.35322171,666,1,5,439
124,63210.353250246,666,0,0,0
77,63210.354591033,666,1,19,1351
77,63210.362661661,666,1,5,439
124,63210.363402165,666,0,0,0
77,63210.364790201,666,1,19,1351
77,63210.375032068,666,1,5,439
124,63210.379187732,666,0,0,0
124,63210.37921006,666,0,0,0
77,63210.385260215,666,1,19,1351
77,63210.395471938,666,1,5,439
124,63210.403337132,666,0,0,0
77,63210.405632398,666,1,19,1351
77,63210.78668643,666,1,5,439
124,63210.788109536,666,0,0,0
77,63210.79425024,666,1,19,1351
77,63210.796896557,666,1,5,439
124,63210.803505407,666,0,0,0
77,63210.807107953,666,1,19,1351
77,63210.817299371,666,1,5,439
124,63210.824063534,666,0,0,0
124,63210.824088539,666,0,0,0
124,63210.82410188,666,0,0,0
77,63210.82750582,666,1,19,1351
77,63210.847970923,666,1,5,439
124,63210.853457065,666,0,0,0
77,63210.858167551,666,1,19,1351
77,63210.863633377,666,1,5,439
124,63210.863652371,666,0,0,0
77,63210.863668167,666,1,19,1351
77,63210.868393983,666,1,5,439
124,63210.883005584,666,0,0,0
124,63210.883030365,666,0,0,0
77,63210.88304438,666,1,19,1351
77,63210.903265544,666,1,5,439
124,63210.903371807,666,0,0,0
185,63210.90453863,666,1,5,439
108,63210.904573069,666,0,0,0
251,63210.904581014,666,0,0,0
77,63210.913460753,666,1,19,1351
77,63211.223281372,666,1,5,439
40,63211.233543979,666,1,5,439
77,63211.233579874,666,1,19,1351
77,63211.285625775,666,1,5,439
124,63211.288323241,666,0,0,0
77,63211.295441586,666,1,19,1351
77,63211.295746268,666,1,5,439
124,63211.303760273,666,0,0,0
77,63211.306271035,666,1,19,1351
77,63211.316562458,666,1,5,439
124,63211.324309671,666,0,0,0
124,63211.324334157,666,0,0,0
124,63211.324347522,666,0,0,0
77,63211.326761369,666,1,19,1351
77,63211.353454622,666,1,5,439
124,63211.353571884,666,0,0,0
77,63211.35756952,666,1,19,1351
77,63211.357577883,666,1,5,439
124,63211.363884404,666,0,0,0
77,63211.364754656,666,1,19,1351
77,63211.378874941,666,1,5,439
124,63211.383232096,666,0,0,0
124,63211.383253879,666,0,0,0
77,63211.389100587,666,1,19,1351
77,63211.399488894,666,1,5,439
124,63211.403589371,666,0,0,0
