syscall,time,process,fields,length,value
77,72696.88543625,666,1,19,1351
77,72696.989824083,666,1,5,439
124,72696.995572901,666,0,0,0
77,72696.998320891,666,1,19,1351
77,72697.004805194,666,1,5,439
124,72697.007501465,666,0,0,0
77,72697.01165033,666,1,19,1351
77,72697.011658219,666,1,5,439
124,72697.017405185,666,0,0,0
124,72697.017430862,666,0,0,0
124,72697.017445115,666,0,0,0
77,72697.020721546,666,1,19,1351
77,72697.053242929,666,1,5,439
124,72697.056686342,666,0,0,0
77,72697.058313788,666,1,19,1351
77,72697.058323294,666,1,5,439
401,72697.058645194,666,2,95,4897
74,72697.063086084,666,0,0,0
126,72697.063147417,666,0,0,0
126,72697.063168704,666,0,0,0
126,72697.063187694,666,0,0,0
126,72697.063206842,666,0,0,0
126,72697.063233517,666,0,0,0
126,72697.063257025,666,0,0,0
126,72697.063275748,666,0,0,0
126,72697.063294084,666,0,0,0
126,72697.063312259,666,0,0,0
126,72697.063330775,666,0,0,0
126,72697.063353192,666,0,0,0
124,72697.06337556,666,0,0,0
77,72697.063661887,666,1,19,1351
77,72697.063668132,666,1,5,439
74,72697.065200421,666,0,0,0
77,72697.065218046,666,1,5,440
77,72697.065332328,666,1,5,439
74,72697.066074936,666,0,0,0
77,72697.066092487,666,1,5,440
77,72697.066435846,666,1,5,439
74,72697.06709013,666,0,0,0
77,72697.06710736,666,1,5,440
77,72697.067257408,666,1,5,439
74,72697.068001912,666,0,0,0
77,72697.06801585,666,1,5,440
77,72697.068046641,666,1,5,439
401,72697.068079875,666,2,93,4726
74,72697.070327825,666,0,0,0
77,72697.076185144,666,1,19,1351
77,72697.155762065,666,1,5,439
124,72697.165737965,666,0,0,0
124,72697.165755912,666,0,0,0
77,72697.16576516,666,1,19,1351
77,72697.235821196,666,1,5,439
124,72697.245734674,666,0,0,0
77,72697.255810569,666,1,19,1351
77,72697.346686043,666,1,5,439
27,72697.346698986,1098,21,465,37147
271,72697.34671259,1098,0,0,0
163,72697.346718248,1098,4,53,4112
183,72697.346724584,1098,4,42,3489
183,72697.346727245,1098,4,42,3480
