syscall,time,process,fields,length,value
77,63653.393420687,666,1,19,1351
77,63653.454848959,666,1,5,439
185,63653.464870975,666,1,5,439
108,63653.46489569,666,0,0,0
251,63653.464901729,666,0,0,0
77,63653.464996114,666,1,19,1351
77,63653.505875739,666,1,5,439
124,63653.516259743,666,0,0,0
77,63653.516285826,666,1,19,1351
77,63653.578862466,666,1,5,439
124,63653.583476737,666,0,0,0
77,63653.583587955,666,1,19,1351
77,63653.623305106,666,1,5,439
124,63653.624377313,666,0,0,0
124,63653.624401627,666,0,0,0
124,63653.624414957,666,0,0,0
77,63653.633483933,666,1,19,1351
77,63653.633492526,666,1,5,439
124,63653.64349449,666,0,0,0
77,63653.643519889,666,1,19,1351
77,63653.653896756,666,1,5,439
124,63653.66353101,666,0,0,0
77,63653.664043448,666,1,19,1351
77,63653.684338072,666,1,5,439
124,63653.693470831,666,0,0,0
124,63653.693494352,666,0,0,0
124,63653.693507967,666,0,0,0
77,63653.693735044,666,1,19,1351
77,63654.013359461,666,1,5,439
124,63654.016473153,666,0,0,0
77,63654.023597129,666,1,19,1351
77,63654.064698833,666,1,5,439
40,63654.074447593,666,1,5,439
77,63654.074774204,666,1,19,1351
77,63654.074808945,666,1,5,439
124,63654.083724384,666,0,0,0
77,63654.084671483,666,1,19,1351
77,63654.105267135,666,1,5,439
40,63654.110683694,666,1,5,439
77,63654.115498961,666,1,19,1351
77,63654.115507708,666,1,5,439
124,63654.12463185,666,0,0,0
124,63654.124652655,666,0,0,0
124,63654.124662127,666,0,0,0
77,63654.1256615,666,1,19,1351
77,63654.143303874,666,1,5,439
124,63654.144903481,666,0,0,0
77,63654.15333541,666,1,19,1351
77,63654.153340806,666,1,5,439
124,63654.163600462,666,0,0,0
77,63654.163624856,666,1,19,1351
77,63654.184941942,666,1,5,439
124,63654.193683176,666,0,0,0
124,63654.193707316,666,0,0,0
124,63654.193719153,666,0,0,0
77,63654.194158586,666,1,19,1351
77,63654.457050664,666,1,5,439
185,63654.465147949,666,1,5,439
108,63654.465182442,666,0,0,0
251,63654.465189482,666,0,0,0
77,63654.467251604,666,1,19,1351
77,63654.508166351,666,1,5,439
124,63654.516648494,666,0,0,0
77,63654.518368205,666,1,19,1351
77,63654.579797609,666,1,5,439
124,63654.583953126,666,0,0,0
77,63654.585766739,666,1,19,1351
77,63654.620757566,666,1,5,439
124,63654.62485846,666,0,0,0
124,63654.624885185,666,0,0,0
124,63654.624899759,666,0,0,0
77,63654.630984617,666,1,19,1351
77,63654.643748751,666,1,5,439
124,63654.64511872,666,0,0,0
77,63654.651439779,666,1,19,1351
77,63654.661718395,666,1,5,439
124,63654.663815806,666,0,0,0
77,63654.671922437,666,1,19,1351
77,63654.692406767,666,1,5,439
124,63654.693875477,666,0,0,0
124,63654.69390011,666,0,0,0
124,63654.693912178,666,0,0,0
77,63654.695960969,666,1,19,1351
77,63655.012325111,666,1,5,439
124,63655.016870542,666,0,0,0
77,63655.022551266,666,1,19,1351
77,63655.073927144,666,1,5,439
40,63655.075808296,666,1,5,439
77,63655.076864842,666,1,19,1351
77,63655.076873737,666,1,5,439
40,63655.079980518,666,1,5,439
124,63655.084143209,666,0,0,0
77,63655.084164344,666,1,19,1351
77,63655.105615446,666,1,5,439
40,63655.112077172,666,1,5,439
77,63655.115835465,666,1,19,1351
77,63655.115844298,666,1,5,439
124,63655.125116908,666,0,0,0
124,63655.125139303,666,0,0,0
124,63655.125149243,666,0,0,0
77,63655.126035083,666,1,19,1351
77,63655.136616322,666,1,5,439
124,63655.151534683,666,0,0,0
77,63655.151554362,666,1,19,1351
77,63655.16172303,666,1,5,439
124,63655.164028237,666,0,0,0
77,63655.171924044,666,1,19,1351
77,63655.192390701,666,1,5,439
124,63655.19408767,666,0,0,0
124,63655.194111803,666,0,0,0
124,63655.1941247,666,0,0,0
77,63655.197042169,666,1,19,1351
77,63655.384293878,666,1,5,439
27,63655.384304439,1098,21,465,36935
271,63655.384317938,1098,0,0,0
163,63655.384323471,1098,4,53,4094
183,63655.384329397,1098,4,42,3480
183,63655.384332174,1098,4,42,3474
168,63655.384334578,1098,0,0,0
311,63655.384345933,1098,0,0,0
311,63655.384347273,1098,0,0,0
242,63655.38434902,1098,0,0,0
112,63655.384350373,1098,0,0,0
27,63655.384358402,1098,21,466,36983
271,63655.384366424,1098,0,0,0
163,63655.384369825,1098,4,53,4054
183,63655.384373073,1098,4,42,3481
168,63655.384375062,1098,0,0,0
311,63655.384381956,1098,0,0,0
311,63655.384383122,1098,0,0,0
242,63655.384384562,1098,0,0,0
112,63655.384385819,1098,0,0,0
77,63655.384392843,1098,1,5,440
77,63655.393426106,666,1,5,439
216,63655.393449216,1098,0,0,0
77,63655.407577523,666,1,19,1351
77,63655.407620735,666,1,5,439
216,63655.407629479,1098,0,0,0
40,63655.40763343,1098,1,5,439
77,63655.407640827,666,1,19,1351
77,63655.413512846,666,1,5,439
216,63655.413524222,1098,0,0,0
216,63655.423324662,1098,0,0,0
40,63655.423328493,1098,1,5,439
216,63655.423355973,1098,0,0,0
77,63655.423363218,1098,1,5,440
77,63655.423399757,1098,1,5,439
242,63655.423416053,1098,0,0,0
163,63655.423421752,1098,4,53,4088
168,63655.423426512,1098,0,0,0
27,63655.423458157,1098,21,468,37093
242,63655.423470766,1098,0,0,0
27,63655.423931582,1098,21,466,36988
271,63655.423941624,1098,0,0,0
163,63655.423946499,1098,4,53,4078
168,63655.423950007,1098,0,0,0
311,63655.423958541,1098,0,0,0
311,63655.423960349,1098,0,0,0
242,63655.423962213,1098,0,0,0
112,63655.423963613,1098,0,0,0
77,63655.423970802,1098,1,5,440
77,63655.423970802,1098,1,5,440
216,63655.433969515,1098,0,0,0
40,63655.433973058,1098,1,5,439
216,63655.433999426,1098,0,0,0
163,63655.434010375,1098,4,51,3939
163,63655.434013074,1098,4,51,3999
242,63655.434018146,1098,0,0,0
163,63655.434021461,1098,4,53,4070
168,63655.434025889,1098,0,0,0
27,63655.434058342,1098,21,468,37091
242,63655.434068778,1098,0,0,0
77,63655.434081564,666,1,19,1351
77,63655.434086775,666,1,5,439
27,63655.434102872,1098,21,466,36988
271,63655.434111401,1098,0,0,0
163,63655.434117467,1098,4,53,4055
183,63655.43412415,1098,4,42,3481
168,63655.434126703,1098,0,0,0
311,63655.434135079,1098,0,0,0
311,63655.434136316,1098,0,0,0
242,63655.434138031,1098,0,0,0
112,63655.43413946,1098,0,0,0
40,63655.434142057,1098,1,5,439
216,63655.445174301,1098,0,0,0
40,63655.445178196,1098,1,5,439
77,63655.453257269,666,1,19,1351
77,63655.453262842,666,1,5,439
216,63655.453275028,1098,0,0,0
216,63655.453308039,1098,0,0,0
77,63655.453314384,1098,1,5,440
77,63655.453321683,1098,1,5,439
40,63655.45332453,1098,1,5,439
216,63655.463242226,1098,0,0,0
40,63655.463245198,1098,1,5,439
77,63655.475944778,666,1,19,1351
77,63655.47594973,666,1,5,439
216,63655.475962505,1098,0,0,0
40,63655.475966472,1098,1,5,439
185,63655.475974219,666,1,5,439
108,63655.47599216,666,0,0,0
251,63655.475996387,666,0,0,0
216,63655.483979685,1098,0,0,0
216,63655.493279057,1098,0,0,0
40,63655.493282787,1098,1,5,439
77,63655.493315741,666,1,19,1351
77,63655.493320947,666,1,5,439
216,63655.503477666,1098,0,0,0
40,63655.503482198,1098,1,5,439
77,63655.503578008,666,1,19,1351
77,63655.503599313,666,1,5,439
216,63655.513772606,1098,0,0,0
40,63655.513776597,1098,1,5,439
77,63655.513785713,666,1,19,1351
77,63655.517734572,666,1,5,439
216,63655.517743453,1098,0,0,0
124,63655.517760162,666,0,0,0
216,63655.523249943,1098,0,0,0
216,63655.533297521,1098,0,0,0
40,63655.53330134,1098,1,5,439
77,63655.533330785,666,1,19,1351
77,63655.533335929,666,1,5,439
216,63655.543213235,1098,0,0,0
216,63655.553735639,1098,0,0,0
40,63655.553740068,1098,1,5,439
216,63655.553769888,1098,0,0,0
77,63655.553778453,1098,1,5,440
77,63655.553815327,1098,1,5,439
40,63655.553818602,1098,1,5,439
216,63655.563247238,1098,0,0,0
216,63655.573241531,1098,0,0,0
40,63655.573244127,1098,1,5,439
77,63655.57326297,666,1,19,1351
77,63655.573267108,666,1,5,439
216,63655.583254079,1098,0,0,0
40,63655.58325654,1098,1,5,439
77,63655.593674758,666,1,19,1351
77,63655.59367875,666,1,5,439
