syscall,time,process,fields,length,value
77,69648.92134047,666,1,19,1351
77,69649.268839721,666,1,5,439
124,69649.278577135,666,0,0,0
124,69649.27918483,666,0,0,0
124,69649.279208728,666,0,0,0
77,69649.279221161,666,1,19,1351
77,69649.289910012,666,1,5,439
124,69649.296281898,666,0,0,0
124,69649.29630586,666,0,0,0
124,69649.29631873,666,0,0,0
77,69649.300060669,666,1,19,1351
77,69649.330839967,666,1,5,439
124,69649.336368114,666,0,0,0
77,69649.34110432,666,1,19,1351
77,69649.341111951,666,1,5,439
124,69649.346281109,666,0,0,0
77,69649.351265672,666,1,19,1351
77,69649.351272992,666,1,5,439
124,69649.356429501,666,0,0,0
124,69649.356458341,666,0,0,0
77,69649.361463993,666,1,19,1351
77,69649.77195766,666,1,5,439
40,69649.777358262,666,1,5,439
40,69649.778555858,666,1,5,439
124,69649.778656688,666,0,0,0
124,69649.779372072,666,0,0,0
124,69649.779395436,666,0,0,0
40,69649.779665481,666,1,5,439
77,69649.782139636,666,1,19,1351
77,69649.792315858,666,1,5,439
124,69649.796485411,666,0,0,0
124,69649.796507472,666,0,0,0
124,69649.7965197,666,0,0,0
40,69649.796786746,666,1,5,439
40,69649.797973647,666,1,5,439
40,69649.799173448,666,1,5,439
40,69649.800343093,666,1,5,439
77,69649.803973882,666,1,19,1351
77,69649.834440587,666,1,5,439
124,69649.836557805,666,0,0,0
77,69649.844620906,666,1,19,1351
77,69649.844628275,666,1,5,439
124,69649.846425389,666,0,0,0
77,69649.854812226,666,1,19,1351
77,69649.85481971,666,1,5,439
124,69649.856619929,666,0,0,0
124,69649.85664213,666,0,0,0
77,69649.865286473,666,1,19,1351
77,69649.865294144,666,1,5,439
185,69649.866399458,666,1,5,439
108,69649.86643254,666,0,0,0
251,69649.866440785,666,0,0,0
77,69649.875462272,666,1,19,1351
77,69650.27305793,666,1,5,439
124,69650.278850704,666,0,0,0
124,69650.27951955,666,0,0,0
124,69650.279540468,666,0,0,0
77,69650.283207722,666,1,19,1351
77,69650.293404434,666,1,5,439
124,69650.297407483,666,0,0,0
124,69650.297430065,666,0,0,0
124,69650.297442888,666,0,0,0
77,69650.303594148,666,1,19,1351
77,69650.33419844,666,1,5,439
124,69650.336750764,666,0,0,0
77,69650.344380763,666,1,19,1351
77,69650.34438812,666,1,5,439
124,69650.346589181,666,0,0,0
77,69650.354568408,666,1,19,1351
77,69650.354575939,666,1,5,439
124,69650.356808505,666,0,0,0
124,69650.356831324,666,0,0,0
77,69650.36476204,666,1,19,1351
77,69650.7720736,666,1,5,439
124,69650.779052318,666,0,0,0
124,69650.779707856,666,0,0,0
124,69650.779729111,666,0,0,0
40,69650.781462353,666,1,5,439
77,69650.782250999,666,1,19,1351
77,69650.782258376,666,1,5,439
40,69650.782583252,666,1,5,439
40,69650.783786528,666,1,5,439
77,69650.789949162,666,1,19,1351
77,69650.792446964,666,1,5,439
124,69650.797609519,666,0,0,0
124,69650.797632352,666,0,0,0
