syscall,time,process,fields,length,value
77,70611.404953253,666,1,19,1351
77,70611.404959005,666,1,5,439
124,70611.410673738,666,0,0,0
77,70611.41512626,666,1,19,1351
77,70611.509110924,666,1,5,439
124,70611.511494738,666,0,0,0
124,70611.511533741,666,0,0,0
77,70611.519302888,666,1,19,1351
77,70611.549884875,666,1,5,439
124,70611.55987309,666,0,0,0
77,70611.559995693,666,1,19,1351
77,70611.831816964,666,1,5,439
124,70611.8347262,666,0,0,0
124,70611.834759049,666,0,0,0
77,70611.83804807,666,1,19,1351
77,70611.838056555,666,1,5,439
124,70611.847655709,666,0,0,0
77,70611.849095871,666,1,19,1351
77,70611.859298039,666,1,5,439
124,70611.860587312,666,0,0,0
124,70611.860615616,666,0,0,0
77,70611.86950587,666,1,19,1351
77,70611.877062379,666,1,5,439
124,70611.880039947,666,0,0,0
77,70611.880067157,666,1,19,1351
77,70611.900489248,666,1,5,439
124,70611.910960214,666,0,0,0
77,70611.910990368,666,1,19,1351
77,70611.953013784,666,1,5,439
185,70611.955404375,666,1,5,439
108,70611.955450659,666,0,0,0
251,70611.955458989,666,0,0,0
77,70611.966876368,666,1,19,1351
77,70612.0075573,666,1,5,439
124,70612.014769144,666,0,0,0
124,70612.01481339,666,0,0,0
77,70612.017700293,666,1,19,1351
77,70612.058468347,666,1,5,439
124,70612.062787973,666,0,0,0
77,70612.068626897,666,1,19,1351
77,70612.332619757,666,1,5,439
124,70612.334905849,666,0,0,0
124,70612.33494036,666,0,0,0
77,70612.338225643,666,1,19,1351
77,70612.338233961,666,1,5,439
124,70612.347969199,666,0,0,0
77,70612.348361069,666,1,19,1351
77,70612.348370402,666,1,5,439
40,70612.353601866,666,1,5,439
40,70612.354773048,666,1,5,439
40,70612.355920999,666,1,5,439
77,70612.358415145,666,1,19,1351
77,70612.358423541,666,1,5,439
124,70612.362927571,666,0,0,0
124,70612.362954594,666,0,0,0
40,70612.362966717,666,1,5,439
77,70612.368468123,666,1,19,1351
77,70612.379362739,666,1,5,439
124,70612.380204509,666,0,0,0
77,70612.389543534,666,1,19,1351
77,70612.410291082,666,1,5,439
124,70612.4111242,666,0,0,0
77,70612.420473083,666,1,19,1351
77,70612.513486474,666,1,5,439
124,70612.515009401,666,0,0,0
124,70612.515061631,666,0,0,0
77,70612.523674774,666,1,19,1351
